rooms,size,level,max_levels,price,district_Мирабадский,district_Мирзо-Улугбекский,district_Олмазорский,district_Сергелийский,district_Учтепинский,district_Чиланзарский,district_Шайхантахурский,district_Юнусабадский,district_Яккасарайский,district_Янгихаётский,district_Яшнободский
2,46.0,3,4,35000.0,0,0,0,0,0,1,0,0,0,0,0
4,125.0,5,5,70000.0,0,0,0,0,0,1,0,0,0,0,0
2,72.0,18,19,55000.0,0,1,0,0,0,0,0,0,0,0,0
2,64.67,7,9,39414.0,0,1,0,0,0,0,0,0,0,0,0
2,70.0,4,9,60000.0,0,0,0,0,0,0,0,1,0,0,0
1,50.0,7,9,37000.0,0,0,0,0,0,0,0,1,0,0,0
2,51.0,2,4,49000.0,0,1,0,0,0,0,0,0,0,0,0
1,22.0,1,2,18000.0,0,1,0,0,0,0,0,0,0,0,0
2,54.0,1,4,42500.0,0,0,0,0,0,1,0,0,0,0,0
1,30.0,3,5,34500.0,0,0,0,0,0,1,0,0,0,0,0
1,42.0,5,9,37000.0,0,0,0,0,0,1,0,0,0,0,0
3,70.0,2,4,70000.0,0,0,0,0,0,0,0,0,1,0,0
3,68.0,2,4,45800.0,0,0,0,0,0,0,1,0,0,0,0
1,30.0,4,4,24000.0,0,0,0,0,0,1,0,0,0,0,0
1,52.0,1,4,58000.0,0,0,0,0,1,0,0,0,0,0,0
4,72.0,4,4,55500.0,0,0,0,0,0,1,0,0,0,0,0
4,76.0,2,4,68000.0,0,0,0,0,0,1,0,0,0,0,0
2,48.0,4,4,31000.0,0,0,0,0,1,0,0,0,0,0,0
2,66.0,3,9,47000.0,0,0,0,0,0,1,0,0,0,0,0
3,60.0,3,5,47000.0,0,0,0,0,0,1,0,0,0,0,0
2,37.0,1,4,41000.0,0,0,0,0,0,1,0,0,0,0,0
1,40.0,3,4,24000.0,0,1,0,0,0,0,0,0,0,0,0
2,61.0,1,4,55000.0,0,0,0,0,0,0,0,1,0,0,0
1,32.0,2,4,28500.0,0,0,0,0,0,1,0,0,0,0,0
3,65.0,4,4,42000.0,0,0,0,0,0,1,0,0,0,0,0
3,66.0,2,5,67000.0,0,0,0,0,1,0,0,0,0,0,0
3,70.0,4,4,46500.0,0,0,0,0,0,1,0,0,0,0,0
3,66.0,4,4,50500.0,0,0,0,0,0,1,0,0,0,0,0
3,65.0,1,4,40000.0,0,0,0,0,1,0,0,0,0,0,0
1,37.0,5,8,13071.0,0,0,0,0,0,0,0,0,0,0,1
2,69.65,4,9,45188.0,0,1,0,0,0,0,0,0,0,0,0
4,88.0,4,5,53000.0,0,0,0,0,1,0,0,0,0,0,0
1,38.0,2,5,25600.0,0,0,0,0,0,0,0,0,1,0,0
2,61.0,6,9,52000.0,1,0,0,0,0,0,0,0,0,0,0
2,45.0,3,7,44000.0,0,1,0,0,0,0,0,0,0,0,0
3,69.0,2,9,40000.0,0,0,0,1,0,0,0,0,0,0,0
2,55.13,5,9,35226.0,0,1,0,0,0,0,0,0,0,0,0
3,67.0,4,4,54000.0,0,0,0,0,0,1,0,0,0,0,0
1,38.0,5,5,22500.0,0,0,0,0,0,0,1,0,0,0,0
2,67.0,2,4,36500.0,0,1,0,0,0,0,0,0,0,0,0
2,54.0,4,9,40000.0,0,0,0,0,0,0,0,0,1,0,0
2,58.0,1,9,35000.0,0,0,0,0,0,1,0,0,0,0,0
4,100.0,5,8,142000.0,1,0,0,0,0,0,0,0,0,0,0
4,90.0,4,5,52000.0,0,0,0,0,0,1,0,0,0,0,0
3,91.0,3,3,85000.0,0,0,1,0,0,0,0,0,0,0,0
4,111.0,7,8,110000.0,0,0,0,0,0,0,1,0,0,0,0
2,54.0,6,7,36000.0,0,0,0,1,0,0,0,0,0,0,0
3,69.0,5,5,52000.0,0,0,0,0,0,0,0,0,0,0,1
5,107.0,5,5,50000.0,0,0,0,0,0,0,0,1,0,0,0
3,80.0,2,5,55000.0,0,1,0,0,0,0,0,0,0,0,0
2,63.0,5,9,42000.0,0,0,0,0,0,0,0,1,0,0,0
3,74.0,5,16,69000.0,1,0,0,0,0,0,0,0,0,0,0
2,58.0,5,5,28900.0,0,0,0,0,0,0,0,0,0,0,1
2,62.0,9,9,34000.0,0,1,0,0,0,0,0,0,0,0,0
3,107.0,2,8,85000.0,0,1,0,0,0,0,0,0,0,0,0
1,40.41,2,4,25000.0,0,0,1,0,0,0,0,0,0,0,0
2,54.0,2,4,39000.0,0,0,0,0,0,1,0,0,0,0,0
1,40.0,1,4,60000.0,0,1,0,0,0,0,0,0,0,0,0
2,50.0,1,5,36500.0,0,1,0,0,0,0,0,0,0,0,0
3,75.0,5,9,42000.0,0,0,0,0,0,0,0,0,0,0,1
3,84.0,7,8,85000.0,0,1,0,0,0,0,0,0,0,0,0
3,117.0,2,5,125000.0,0,1,0,0,0,0,0,0,0,0,0
3,70.0,5,5,37000.0,0,1,0,0,0,0,0,0,0,0,0
1,47.0,2,9,42000.0,0,1,0,0,0,0,0,0,0,0,0
2,56.0,2,5,36000.0,0,0,0,0,0,1,0,0,0,0,0
1,42.0,3,9,28000.0,0,0,0,0,0,1,0,0,0,0,0
2,60.0,5,9,34000.0,0,0,0,0,0,1,0,0,0,0,0
1,32.0,2,5,28500.0,0,0,0,0,0,1,0,0,0,0,0
1,42.0,2,5,28500.0,0,0,0,0,0,1,0,0,0,0,0
2,60.0,2,9,34500.0,0,0,0,0,0,1,0,0,0,0,0
2,54.0,1,4,34500.0,0,0,0,0,0,1,0,0,0,0,0
1,42.0,1,5,25500.0,0,0,0,0,0,1,0,0,0,0,0
2,60.0,2,9,43500.0,0,0,0,0,0,1,0,0,0,0,0
2,72.0,7,9,63000.0,1,0,0,0,0,0,0,0,0,0,0
3,80.0,1,4,39999.0,0,0,0,0,0,0,0,0,0,0,1
1,33.0,2,4,24500.0,0,0,0,0,0,1,0,0,0,0,0
2,61.0,3,5,41000.0,0,0,0,0,0,0,0,1,0,0,0
4,187.0,2,5,210000.0,0,1,0,0,0,0,0,0,0,0,0
2,63.0,5,5,36000.0,0,1,0,0,0,0,0,0,0,0,0
2,60.0,5,5,34000.0,0,0,1,0,0,0,0,0,0,0,0
1,29.0,2,4,23000.0,0,0,0,0,0,1,0,0,0,0,0
